id,date,month,year,average_price,total_volume,plu_4046_sold,plu_4225_sold,plu_4770_sold,total_bags,small_bags,large_bags,xlarge_bags,type,region,metropolitan_region
1,2016-12-18,December,2016,1.6,41255.97,4281.68,11382.93,2389.77,23201.59,16449.77,6751.82,0,Organic,Plains,Region
1,2016-12-18,December,2016,1.26,54712.86,3375.85,8448.31,315.77,42572.93,19398.71,23174.22,0,Organic,South East,Region
1,2016-12-18,December,2016,1.94,113583.14,14615.66,33603.36,164.23,65199.89,63812.2,1387.69,0,Organic,North East,Region
1,2016-12-18,December,2016,1.1,100860.88,23988.1,4296.17,0,72576.61,67763.58,4813.03,0,Organic,South Central,Region
1,2016-12-18,December,2016,1.95,7450.03,6.19,215.35,0,7228.49,7228.49,0,0,Organic,Northern New England,Region
1,2016-12-18,December,2016,1.31,112979.93,3304.98,66050.37,0,43624.58,18096.39,25528.19,0,Organic,Great Lakes,Region
1,2016-12-18,December,2016,1.46,77030.91,2684.3,29491.7,1695.12,43159.79,28795.8,14363.99,0,Organic,Mid South,Region
1,2016-12-18,December,2016,1.61,122728.42,18006.04,60993.65,176.75,43551.98,37872.37,5679.61,0,Organic,California,Region
22,2015-07-26,July,2015,1.5,87348.95,3971.27,63468.5,0,19909.18,4387.73,15521.45,0,Organic,Great Lakes,Region
22,2015-07-26,July,2015,1.93,98449.84,31604.24,57990.08,0,8855.52,8855.52,0,0,Organic,California,Region
22,2015-07-26,July,2015,1.67,33855.61,9842.79,6913.97,673.36,16425.49,13022.52,3402.97,0,Organic,South East,Region
22,2015-07-26,July,2015,1.94,45208.21,4767.51,20119.18,87.72,20233.8,19658.12,575.68,0,Organic,North East,Region
22,2015-07-26,July,2015,1.26,62027.52,47466.03,5752.63,0,8808.86,7114.14,1694.72,0,Organic,South Central,Region
22,2015-07-26,July,2015,1.95,7510.46,94.34,1065.74,0,6350.38,6313.71,36.67,0,Organic,Northern New England,Region
22,2015-07-26,July,2015,1.84,27102.7,5869.72,12085.34,61.16,9086.48,7498.39,1588.09,0,Organic,Plains,Region
22,2015-07-26,July,2015,1.52,67600.74,5543.66,36107.8,3438.23,22511.05,8545.51,13965.54,0,Organic,Mid South,Region
17,2017-09-03,September,2017,2.12,54026.99,1395.08,19190.49,973.47,32467.95,20082.79,12385.16,0,Organic,Plains,Region
17,2017-09-03,September,2017,1.69,13062.41,2.43,168.63,0,12891.35,12891.35,0,0,Organic,Northern New England,Region
17,2017-09-03,September,2017,2.26,77686.48,2180.86,19175.72,171.85,56158.05,40265.41,15892.64,0,Organic,South East,Region
17,2017-09-03,September,2017,1.92,223548.33,15489.31,42399.85,207.82,165451.35,157440.62,8010.73,0,Organic,North East,Region
17,2017-09-03,September,2017,2.09,142391.81,33578.96,64298.99,0,44513.86,44484.97,28.89,0,Organic,California,Region
17,2017-09-03,September,2017,2.13,167349.41,6815.74,41002.21,840.59,118690.87,100375.43,18315.44,0,Organic,Mid South,Region
17,2017-09-03,September,2017,1.78,109958.23,30727.41,4626.58,0,74604.24,71340.48,3263.76,0,Organic,South Central,Region
17,2017-09-03,September,2017,1.82,157087.22,3819.64,33363.97,12.96,119674.06,86092.86,33581.2,0,Organic,Great Lakes,Region
37,2016-04-10,April,2016,1.36,57602.01,4047.05,22065.88,7333.68,24155.4,7182.87,16972.53,0,Organic,Plains,Region
37,2016-04-10,April,2016,1.88,114275.61,4209.39,19961.97,2037.2,88067.05,70435.19,17631.86,0,Organic,North East,Region
37,2016-04-10,April,2016,1.5,13624.67,3.8,276.42,0,13344.45,13344.45,0,0,Organic,Northern New England,Region
37,2016-04-10,April,2016,1.44,54667.44,16629.6,11242.96,507.98,26286.9,25822.92,463.98,0,Organic,South East,Region
